Tarih	Toplam Vaka	Yeni Vaka	Toplam Ölüm	Yeni Ölüm	Toplam İyileşme	Yeni İyileşme	Aktif Vaka	Toplam Yoğun Bakım Hasta Sayısı	Toplam Entübe Hasta Sayısı	Toplam Test	Yeni Test	Test Sayısı (Milyonda)	Test Başına Vaka (%)	Toplam Vaka (Milyonda)	Vaka Değişim Oranı (%)	Vaka Tespit Etme Oranı (%)	Ölüm Oranı (%)	Kapanan Vakada Ölüm (%)	Büyüme Faktörü	Test Değişim Oranı (%)	Time	Nüfusa oran
11.03.2020	1	1	0	0	0	0	1	0	0	940	940	11	0.11	0		0.11	0.00				1	84339067
12.03.2020	1	0	0	0	0	0	1	0	0	940		11	0.11	0	0.00		0.00			0.00	2	84339067
13.03.2020	5	4	0	0	0	0	5	0	0	4000	3060	47	0.13	0	400.00	0.00	0.00			325.53	3	16867813.4
14.03.2020	6	1	0	0	0	0	6	0	0	4000		47	0.15	0	20.00		0.00		0.25	0.00	4	14056511.17
15.03.2020	18	12	0	0	0	0	18	0	0	4000		47	0.45	0	200.00		0.00		12.00	0.00	5	4685503.722
16.03.2020	47	29	0	0	0	0	47	0	0	4000		47	1.18	1	161.11		0.00		2.42	0.00	6	1794448.234
17.03.2020	98	51	1	1	0	0	97	0	0	8002	4002	95	1.22	1	108.51	1.27	1.02	100.00	1.76	100.05	7	860602.7245
18.03.2020	191	93	2	1	0	0	189	0	0	10000	1998	119	1.91	2	94.90	4.65	1.05	100.00	1.82	24.97	8	441565.7958
19.03.2020	359	168	4	2	0	0	355	0	0	11981	1981	142	3.00	4	87.96	8.48	1.11	100.00	1.81	19.81	9	234927.7632
20.03.2020	670	311	9	5	0	0	661	0	0	15637	3656	185	4.28	8	86.63	8.51	1.34	100.00	1.85	30.51	10	125879.2045
21.03.2020	947	277	21	12	0	0	926	0	0	18607	2970	221	5.09	11	41.34	9.33	2.22	100.00	0.89	18.99	11	89059.20486
22.03.2020	1236	289	30	9	0	0	1206	0	0	20345	1738	241	6.08	15	30.52	16.63	2.43	100.00	1.04	9.34	12	68235.4911
23.03.2020	1529	293	37	7	0	0	1492	0	0	24017	3672	285	6.37	18	23.71	7.98	2.42	100.00	1.01	18.05	13	55159.62525
24.03.2020	1872	343	44	7	0	0	1828	0	0	27969	3952	332	6.69	22	22.43	8.68	2.35	100.00	1.17	16.46	14	45052.92041
25.03.2020	2433	561	59	15	26	26	2348	0	0	33004	5035	391	7.37	29	29.97	11.14	2.42	69.41	1.64	18.00	15	34664.63913
26.03.2020	3629	1196	75	16	26	0	3528	0	0	40290	7286	478	9.01	43	49.16	16.42	2.07	74.26	2.13	22.08	16	23240.30504
27.03.2020	5698	2069	92	17	42	16	5564	344	241	47823	7533	567	11.91	68	57.01	27.47	1.61	68.66	1.73	18.70	17	14801.52106
28.03.2020	7402	1704	108	16	70	28	7224	445	309	55464	7641	658	13.35	88	29.91	22.30	1.46	60.67	0.82	15.98	18	11394.09173
29.03.2020	9217	1815	131	23	105	35	8981	568	394	65446	9982	776	14.08	109	24.52	18.18	1.42	55.51	1.07	18.00	19	9150.381578
30.03.2020	10827	1610	168	37	162	57	10497	725	523	76981	11535	913	14.06	128	17.47	13.96	1.55	50.91	0.89	17.63	20	7789.698624
31.03.2020	13531	2704	214	46	243	81	13074	847	622	92403	15422	1096	14.64	160	24.97	17.53	1.58	46.83	1.68	20.03	21	6233.025423
01.04.2020	15679	2148	277	63	333	90	15069	979	692	106799	14396	1266	14.68	186	15.87	14.92	1.77	45.41	0.79	15.58	22	5379.110084
02.04.2020	18135	2456	356	79	415	82	17364	1101	783	125556	18757	1489	14.44	215	15.66	13.09	1.96	46.17	1.14	17.56	23	4650.624042
03.04.2020	20921	2786	425	69	484	69	20012	1251	867	141716	16160	1680	14.76	248	15.36	17.24	2.03	46.75	1.13	12.87	24	4031.311457
04.04.2020	23934	3013	501	76	786	302	22647	1311	909	161380	19664	1913	14.83	284	14.40	15.32	2.09	38.93	1.08	13.88	25	3523.818292
05.04.2020	27069	3135	574	73	1042	256	25453	1381	935	181445	20065	2151	14.92	321	13.10	15.62	2.12	35.52	1.04	12.43	26	3115.706786
06.04.2020	30217	3148	649	75	1326	284	28242	1415	966	202845	21400	2405	14.90	358	11.63	14.71	2.15	32.86	1.00	11.79	27	2791.113181
07.04.2020	34109	3892	725	76	1582	256	31802	1474	987	222868	20023	2643	15.30	404	12.88	19.44	2.13	31.43	1.24	9.87	28	2472.633821
08.04.2020	38226	4117	812	87	1846	264	35568	1492	995	247768	24900	2938	15.43	453	12.07	16.53	2.12	30.55	1.06	11.17	29	2206.32729
09.04.2020	42282	4056	908	96	2142	296	39232	1552	1017	276346	28578	3277	15.30	501	10.61	14.19	2.15	29.77	0.99	11.53	30	1994.680171
10.04.2020	47029	4747	1006	98	2423	281	43600	1667	1062	307210	30864	3643	15.31	558	11.23	15.38	2.14	29.34	1.17	11.17	31	1793.341704
11.04.2020	52167	5138	1101	95	2965	542	48101	1626	1021	340380	33170	4036	15.33	619	10.93	15.49	2.11	27.08	1.08	10.80	32	1616.712999
