time	death_rate
0	1.020408163
1	1.047120419
2	1.114206128
3	1.343283582
4	2.217529039
5	2.427184466
6	2.419882276
7	2.35042735
8	2.424989725
9	2.066685037
10	1.614601615
11	1.459065118
12	1.421286753
13	1.551676365
14	1.58155347
15	1.766694304
16	1.963054866
17	2.031451651
18	2.093256455
19	2.120506853
20	2.147797597
21	2.125538714
22	2.124208654
23	2.147485928
24	2.139105658
25	2.110529645
26	2.103378046
27	2.122884896
28	2.154781834
29	2.187572054
30	2.214494629
31	2.252183434
32	2.295667383
33	2.337033346
34	2.352165311
